"NATMON_IND","Indicator","LOCATION","country","TIME","Time","completed_education","Flag Codes","Flags"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","KOR","Republic of Korea","2019","2019",99.25729,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40042","Lower middle income countries","2019","2019",86.49015,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","SEN","Senegal","2019","2019",87.16278,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","JAM","Jamaica","2019","2019",86.53378,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40515","East Asia and the Pacific","2019","2019",95.80093,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","PSE","Palestine","2019","2019",99.00706,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","CZE","Czechia","2019","2019",99.58927,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","CHE","Switzerland","2019","2019",99.62126,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","AZE","Azerbaijan","2019","2019",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","JOR","Jordan","2019","2019",94.5066,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","TZA","United Republic of Tanzania","2019","2019",90.68797,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","GMB","Gambia","2019","2019",79.70687,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40525","Arab States","2019","2019",84.07908,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",97.48469,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ISL","Iceland","2019","2019",98.45792,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ZWE","Zimbabwe","2019","2019",93.85168,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","BOL","Bolivia (Plurinational State of)","2019","2019",96.36904,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SVN","Slovenia","2019","2019",99.69068,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MKD","North Macedonia","2019","2019",96.28058,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CIV","Côte d'Ivoire","2019","2019",78.98035,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MAR","Morocco","2019","2019",94.17999,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","PHL","Philippines","2019","2019",98.20864,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","BLZ","Belize","2019","2019",95.5156,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","BIH","Bosnia and Herzegovina","2019","2019",94.79523,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","HND","Honduras","2019","2019",87.71842,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","HRV","Croatia","2019","2019",98.62877,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","DOM","Dominican Republic","2019","2019",92.49284,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","GEO","Georgia","2019","2019",99.1193,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","VUT","Vanuatu","2019","2019",89.17938,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","BDI","Burundi","2019","2019",68.44463,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ISR","Israel","2019","2019",99.13404,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","KAZ","Kazakhstan","2019","2019",100,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","EGY","Egypt","2019","2019",99.3309,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","MHL","Marshall Islands","2019","2019",83.77396,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","LBN","Lebanon","2019","2019",92.32654,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40612","Central Asia","2019","2019",98.0852,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","FIN","Finland","2019","2019",99.70811,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40520","Latin America and the Caribbean","2019","2019",87.82942,"‡","UIS Estimation"
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","GTM","Guatemala","2019","2019",87.25303,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SEN","Senegal","2019","2019",85.58519,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ITA","Italy","2019","2019",99.83543,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","KHM","Cambodia","2019","2019",84.57313,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","NOR","Norway","2019","2019",99.14388,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","IND","India","2019","2019",97.65589,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","CUB","Cuba","2019","2019",95.49094,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SUR","Suriname","2019","2019",93.1593,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40043","Upper middle income countries","2019","2019",94.09231,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40044","Low income countries","2019","2019",54.528,"‡","UIS Estimation"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MYS","Malaysia","2019","2019",95.30079,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ALB","Albania","2019","2019",88.87198,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","TUR","Türkiye","2019","2019",99.84731,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","BGR","Bulgaria","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","CHL","Chile","2019","2019",99.95096,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","SGP","Singapore","2019","2019",99.44149,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","LTU","Lithuania","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","COL","Colombia","2019","2019",95.55609,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","EST","Estonia","2019","2019",99.77333,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","UKR","Ukraine","2019","2019",98.1372,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","TON","Tonga","2019","2019",91.32378,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","QAT","Qatar","2019","2019",95.94017,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SWE","Sweden","2019","2019",99.81043,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40334","Least Developed Countries","2019","2019",58.06854,"‡","UIS Estimation"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","BLR","Belarus","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40500","North America and Western Europe","2019","2019",95.54433,"‡","UIS Estimation"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","DNK","Denmark","2019","2019",99.8524,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ROU","Romania","2019","2019",96.02769,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40618","Central and Southern Asia","2019","2019",89.64484,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","LVA","Latvia","2019","2019",97.49918,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CHE","Switzerland","2019","2019",99.71184,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","OMN","Oman","2019","2019",99.30101,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","BLZ","Belize","2019","2019",91.98464,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","CZE","Czechia","2019","2019",99.57872,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","KOR","Republic of Korea","2019","2019",99.30853,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40617","Northern Africa and Western Asia","2019","2019",86.34692,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","ABW","Aruba","2019","2019",88.17986,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MKD","North Macedonia","2019","2019",95.83636,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","PSE","Palestine","2019","2019",98.69651,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","BOL","Bolivia (Plurinational State of)","2019","2019",98.23652,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BIH","Bosnia and Herzegovina","2019","2019",94.02281,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","CPV","Cabo Verde","2019","2019",88.73949,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","LAO","Lao People's Democratic Republic","2019","2019",84.4896,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","SMR","San Marino","2019","2019",98.09611,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","PHL","Philippines","2019","2019",97.9202,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","IND","India","2019","2019",99.40984,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","TZA","United Republic of Tanzania","2019","2019",74.6182,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DOM","Dominican Republic","2019","2019",85.18253,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","UZB","Uzbekistan","2019","2019",99.70926,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","LBN","Lebanon","2019","2019",86.6241,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","ESP","Spain","2019","2019",99.83944,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","BGR","Bulgaria","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MDA","Republic of Moldova","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BRN","Brunei Darussalam","2019","2019",97.03596,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","JOR","Jordan","2019","2019",94.9493,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","FIN","Finland","2019","2019",99.89532,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZWE","Zimbabwe","2019","2019",84.42362,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","GTM","Guatemala","2019","2019",76.49139,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ROU","Romania","2019","2019",96.0934,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","AUT","Austria","2019","2019",99.7817,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","VUT","Vanuatu","2019","2019",87.31544,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SEN","Senegal","2019","2019",87.16278,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","ITA","Italy","2019","2019",99.90003,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","NOR","Norway","2019","2019",100,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ARM","Armenia","2019","2019",99.35321,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","HRV","Croatia","2019","2019",98.46626,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","TON","Tonga","2019","2019",92.17813,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HUN","Hungary","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40603","Northern Africa","2019","2019",94.1437,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MUS","Mauritius","2019","2019",98.08543,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","DJI","Djibouti","2019","2019",88.24742,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","WSM","Samoa","2019","2019",84.71337,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ZAF","South Africa","2019","2019",99.23436,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KGZ","Kyrgyzstan","2019","2019",97.69109,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40620","Europe","2019","2019",97.81541,"‡","UIS Estimation"
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","TUR","Türkiye","2019","2019",99.86254,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40614","Western Asia","2019","2019",78.79596,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","ARG","Argentina","2019","2019",95.20357,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40525","Arab States","2019","2019",83.80122,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","EST","Estonia","2019","2019",99.81812,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","KWT","Kuwait","2019","2019",95.62125,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SWE","Sweden","2019","2019",100,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","GMB","Gambia","2019","2019",74.88705,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","BLR","Belarus","2019","2019",98.52577,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","JAM","Jamaica","2019","2019",64.89734,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","URY","Uruguay","2019","2019",99.28653,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","DNK","Denmark","2019","2019",99.8892,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","SLE","Sierra Leone","2019","2019",39.41877,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","LCA","Saint Lucia","2019","2019",94.89416,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40613","South-Eastern Asia","2019","2019",92.83029,"‡","UIS Estimation"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","ECU","Ecuador","2019","2019",95.3143,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","BFA","Burkina Faso","2019","2019",69.65514,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","OMN","Oman","2019","2019",99.20663,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MDA","Republic of Moldova","2019","2019",89.7465,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","SLV","El Salvador","2019","2019",89.52269,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","BEN","Benin","2019","2019",49.99614,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","LCA","Saint Lucia","2019","2019",93.77934,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ABW","Aruba","2019","2019",94.27815,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","QAT","Qatar","2019","2019",93.91434,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","LKA","Sri Lanka","2019","2019",97.86829,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CPV","Cabo Verde","2019","2019",93.62736,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","AZE","Azerbaijan","2019","2019",93.16763,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SMR","San Marino","2019","2019",98.13786,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","CUB","Cuba","2019","2019",95.97029,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","SRB","Serbia","2019","2019",97.84898,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","BRN","Brunei Darussalam","2019","2019",96.46306,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","COL","Colombia","2019","2019",97.50604,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","LTU","Lithuania","2019","2019",98.87703,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CYP","Cyprus","2019","2019",95.9654,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","PSE","Palestine","2019","2019",99.00706,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","UZB","Uzbekistan","2019","2019",99.78076,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40535","South and West Asia","2019","2019",91.27624,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","FJI","Fiji","2019","2019",75.3676,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","CHL","Chile","2019","2019",99.45188,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40611","Eastern Asia","2019","2019",96.88412,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40620","Europe","2019","2019",98.19131,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40043","Upper middle income countries","2019","2019",93.93709,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MOZ","Mozambique","2019","2019",65.73874,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40044","Low income countries","2019","2019",55.67848,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ISL","Iceland","2019","2019",99.5556,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","FIN","Finland","2019","2019",99.49342,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","GEO","Georgia","2019","2019",99.24812,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","TON","Tonga","2019","2019",91.36827,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","ESP","Spain","2019","2019",99.77203,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","GRC","Greece","2019","2019",99.56097,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","KGZ","Kyrgyzstan","2019","2019",98.6291,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","MUS","Mauritius","2019","2019",98.33492,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","WSM","Samoa","2019","2019",92.30062,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40344","Small Island Developing States","2019","2019",58.42248,"‡","UIS Estimation"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","EGY","Egypt","2019","2019",99.96925,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","DNK","Denmark","2019","2019",99.54139,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAC","China, Macao Special Administrative Region","2019","2019",99.8604,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","URY","Uruguay","2019","2019",99.18121,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ALB","Albania","2019","2019",90.06431,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SVK","Slovakia","2019","2019",99.19364,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MEX","Mexico","2019","2019",96.52503,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","MNE","Montenegro","2019","2019",99.19216,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","EST","Estonia","2019","2019",99.99284,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","LVA","Latvia","2019","2019",96.86151,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","HUN","Hungary","2019","2019",98.69691,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","KHM","Cambodia","2019","2019",84.06819,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MLT","Malta","2019","2019",98.77588,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BEL","Belgium","2019","2019",98.05485,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40540","Sub-Saharan Africa","2019","2019",58.40127,"‡","UIS Estimation"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BLR","Belarus","2019","2019",98.25681,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40330","Landlocked Developing Countries","2019","2019",59.99777,"‡","UIS Estimation"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",99.83588,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ZAF","South Africa","2019","2019",98.15463,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MDA","Republic of Moldova","2019","2019",97.11164,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40505","Central Asia","2019","2019",98.41019,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SLV","El Salvador","2019","2019",82.17304,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","JAM","Jamaica","2019","2019",82.7689,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","TZA","United Republic of Tanzania","2019","2019",87.18127,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",99.47724,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","BFA","Burkina Faso","2019","2019",72.5009,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","BEN","Benin","2019","2019",58.62997,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ZWE","Zimbabwe","2019","2019",95.0986,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ARG","Argentina","2019","2019",94.41433,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","HND","Honduras","2019","2019",79.32495,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BLZ","Belize","2019","2019",89.94287,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","LAO","Lao People's Democratic Republic","2019","2019",82.05267,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","SRB","Serbia","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","JOR","Jordan","2019","2019",95.34634,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","COL","Colombia","2019","2019",94.85422,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","FJI","Fiji","2019","2019",83.75654,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BDI","Burundi","2019","2019",49.70197,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PSE","Palestine","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","TUR","Türkiye","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","LBN","Lebanon","2019","2019",84.85859,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","CHL","Chile","2019","2019",98.62972,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","CYP","Cyprus","2019","2019",97.50447,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","LKA","Sri Lanka","2019","2019",98.71217,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ISR","Israel","2019","2019",100,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","DJI","Djibouti","2019","2019",88.06726,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MOZ","Mozambique","2019","2019",56.86869,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","AUT","Austria","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","QAT","Qatar","2019","2019",94.24467,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","GRC","Greece","2019","2019",100,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MLT","Malta","2019","2019",98.90212,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40616","Southern Asia","2019","2019",87.46711,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","WSM","Samoa","2019","2019",90.26465,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","ARG","Argentina","2019","2019",95.52293,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","ECU","Ecuador","2019","2019",96.92998,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40675","World","2019","2019",84.86078,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","EGY","Egypt","2019","2019",99.81848,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","UKR","Ukraine","2019","2019",98.40326,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","KAZ","Kazakhstan","2019","2019",97.14414,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MEX","Mexico","2019","2019",96.24161,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","SGP","Singapore","2019","2019",99.89027,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","PAN","Panama","2019","2019",94.00076,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40330","Landlocked Developing Countries","2019","2019",59.0743,"‡","UIS Estimation"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SLE","Sierra Leone","2019","2019",49.68999,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","SVK","Slovakia","2019","2019",99.33879,,
